['ITEM']
Coffee
Oat Milk x2
Tofu
Romaine
Parmesan
Chicken?
Mushrooms
frozen edemame (peeled)
Nacho chips
Can of Black Beans
chipotle peps in Ancho sawce
mix mex chz
yellow onion x2
Cilantro
Tortillas
tomatoes
Garlic
lemons
coke zero
lacroix
